participant;language;gender;age;trial;voice;left;right;choice;choiceName
bc;da;female;58;1;low;small;big;right;big
bc;da;female;58;2;low;low;high;right;high
bc;da;female;58;3;high;high;small;right;small
bc;da;female;58;4;low;low;high;left;low
bc;da;female;58;5;low;low;high;left;low
bc;da;female;58;6;high;low;big;right;big
bc;da;female;58;7;high;high;small;left;high
bc;da;female;58;8;low;high;small;right;small
bc;da;female;58;9;low;low;big;left;low
bc;da;female;58;10;low;low;big;left;low
bc;da;female;58;11;low;low;high;left;low
bc;da;female;58;12;low;low;big;left;low
bc;da;female;58;13;high;small;big;left;small
bc;da;female;58;14;low;small;big;right;big
bc;da;female;58;15;high;high;small;left;high
bc;da;female;58;16;high;low;high;right;high
bc;da;female;58;17;low;high;small;left;high
bc;da;female;58;18;high;small;big;right;big
bc;da;female;58;19;low;low;big;right;big
bc;da;female;58;20;high;low;high;right;high
bc;da;female;58;21;high;low;big;right;big
bc;da;female;58;22;high;small;big;right;big
bc;da;female;58;23;high;high;small;left;high
bc;da;female;58;24;high;small;big;right;big
