participant;language;gender;age;trial;voice;left;right;choice;choiceName
ma;da;female;28;1;low;high;small;right;small
ma;da;female;28;2;low;low;high;left;low
ma;da;female;28;3;high;small;big;right;big
ma;da;female;28;4;high;low;high;right;high
ma;da;female;28;5;low;small;big;right;big
ma;da;female;28;6;high;low;high;right;high
ma;da;female;28;7;high;high;small;left;high
ma;da;female;28;8;high;high;small;left;high
ma;da;female;28;9;low;high;small;left;high
ma;da;female;28;10;low;low;big;right;big
ma;da;female;28;11;high;small;big;left;small
ma;da;female;28;12;high;low;high;right;high
ma;da;female;28;13;low;high;small;left;high
ma;da;female;28;14;high;low;big;right;big
ma;da;female;28;15;high;small;big;right;big
ma;da;female;28;16;low;low;high;left;low
ma;da;female;28;17;high;high;small;left;high
ma;da;female;28;18;high;low;big;right;big
ma;da;female;28;19;low;low;big;right;big
ma;da;female;28;20;high;high;small;left;high
ma;da;female;28;21;high;small;big;left;small
ma;da;female;28;22;high;low;big;right;big
ma;da;female;28;23;low;low;high;right;high
ma;da;female;28;24;low;low;big;left;low
ma;da;female;28;25;low;high;small;left;high
ma;da;female;28;26;high;low;high;right;high
ma;da;female;28;27;high;small;big;right;big
ma;da;female;28;28;high;low;high;right;high
ma;da;female;28;29;low;small;big;right;big
ma;da;female;28;30;high;small;big;left;small
ma;da;female;28;31;high;high;small;left;high
ma;da;female;28;32;low;low;big;right;big
ma;da;female;28;33;low;low;high;left;low
ma;da;female;28;34;high;high;small;left;high
ma;da;female;28;35;low;small;big;right;big
ma;da;female;28;36;low;low;high;left;low
ma;da;female;28;37;low;low;big;left;low
ma;da;female;28;38;low;low;big;right;big
ma;da;female;28;39;low;low;big;right;big
ma;da;female;28;40;low;small;big;right;big
