participant;language;gender;age;trial;voice;left;right;choice;choiceName
mb;;male;;1;high;low;high;right;high
mb;;male;;2;low;low;big;right;big
mb;;male;;3;high;low;big;right;big
mb;;male;;4;high;low;big;left;low
mb;;male;;5;high;low;big;right;big
mb;;male;;6;high;small;big;left;small
mb;;male;;7;high;high;small;right;small
mb;;male;;8;low;low;big;right;big
mb;;male;;9;high;small;big;left;small
mb;;male;;10;high;low;high;right;high
mb;;male;;11;high;low;high;right;high
mb;;male;;12;low;high;small;left;high
mb;;male;;13;low;low;high;left;low
mb;;male;;14;low;small;big;right;big
mb;;male;;15;low;high;small;left;high
mb;;male;;16;low;small;big;right;big
mb;;male;;17;high;low;high;left;low
mb;;male;;18;high;small;big;right;big
mb;;male;;19;high;low;big;right;big
mb;;male;;20;high;high;small;left;high
mb;;male;;21;high;low;big;right;big
mb;;male;;22;low;low;high;right;high
mb;;male;;23;low;low;high;left;low
mb;;male;;24;high;high;small;right;small
mb;;male;;25;low;small;big;right;big
mb;;male;;26;low;low;high;left;low
mb;;male;;27;low;low;big;right;big
mb;;male;;28;high;low;big;right;big
mb;;male;;29;low;small;big;left;small
mb;;male;;30;high;high;small;right;small
mb;;male;;31;high;small;big;right;big
mb;;male;;32;low;low;high;right;high
mb;;male;;33;low;low;high;right;high
mb;;male;;34;low;small;big;right;big
mb;;male;;35;low;low;big;right;big
mb;;male;;36;low;high;small;right;small
mb;;male;;37;high;high;small;right;small
mb;;male;;38;low;high;small;right;small
mb;;male;;39;low;small;big;right;big
mb;;male;;40;high;high;small;right;small
