participant;language;gender;age;trial;voice;left;right;choice;choiceName
vc;da;male;63;1;high;small;big;right;big
vc;da;male;63;2;high;low;big;right;big
vc;da;male;63;3;high;low;high;left;low
vc;da;male;63;4;low;low;big;left;low
vc;da;male;63;5;high;high;small;left;high
vc;da;male;63;6;low;low;high;right;high
vc;da;male;63;7;low;high;small;right;small
vc;da;male;63;8;low;low;big;right;big
vc;da;male;63;9;low;high;small;right;small
vc;da;male;63;10;high;low;big;left;low
vc;da;male;63;11;low;low;big;right;big
vc;da;male;63;12;low;low;big;right;big
vc;da;male;63;13;low;high;small;left;high
vc;da;male;63;14;high;high;small;left;high
vc;da;male;63;15;low;high;small;right;small
vc;da;male;63;16;low;low;high;right;high
vc;da;male;63;17;low;small;big;right;big
vc;da;male;63;18;low;small;big;right;big
vc;da;male;63;19;low;low;big;right;big
vc;da;male;63;20;high;low;big;left;low
vc;da;male;63;21;high;small;big;left;small
vc;da;male;63;22;high;small;big;left;small
vc;da;male;63;23;high;high;small;left;high
vc;da;male;63;24;high;small;big;left;small
vc;da;male;63;25;high;low;high;left;low
vc;da;male;63;26;low;low;high;left;low
vc;da;male;63;27;high;high;small;left;high
vc;da;male;63;28;low;small;big;right;big
vc;da;male;63;29;high;low;high;left;low
vc;da;male;63;30;low;small;big;left;small
vc;da;male;63;31;high;low;high;right;high
vc;da;male;63;32;high;low;high;right;high
