participant;language;gender;age;condition;block;trial;sound;visual;key;RT
bc;da;female;58;size;1;1;low;big;k;0.8150088787078857
bc;da;female;58;size;1;2;low;small;s;1.812424898147583
bc;da;female;58;size;1;3;high;big;k;0.5473291873931885
bc;da;female;58;size;1;4;low;big;s;0.3611788749694824
bc;da;female;58;size;1;5;high;small;k;0.2645690441131592
bc;da;female;58;size;1;6;high;small;k;0.4702920913696289
bc;da;female;58;size;1;7;low;big;s;0.3810420036315918
bc;da;female;58;size;1;8;low;small;s;0.41268301010131836
bc;da;female;58;size;1;9;low;small;s;0.2750279903411865
bc;da;female;58;size;1;10;high;big;k;0.37737107276916504
bc;da;female;58;size;1;11;high;big;k;0.384476900100708
bc;da;female;58;size;1;12;high;small;k;0.29614996910095215
bc;da;female;58;size;1;13;low;small;s;0.2304539680480957
bc;da;female;58;size;1;14;high;big;k;0.24900197982788086
bc;da;female;58;size;1;15;low;small;s;0.4013240337371826
bc;da;female;58;size;1;16;high;big;k;0.2590610980987549
bc;da;female;58;size;2;1;low;big;k;0.4243030548095703
bc;da;female;58;size;2;2;low;big;k;0.3728830814361572
bc;da;female;58;size;2;3;high;small;k;0.5081429481506348
bc;da;female;58;size;2;4;high;small;k;0.33765697479248047
bc;da;female;58;size;2;5;high;big;k;0.4062349796295166
bc;da;female;58;size;2;6;high;big;k;0.4468991756439209
bc;da;female;58;size;2;7;low;big;s;0.2668931484222412
bc;da;female;58;size;2;8;low;big;s;0.39858508110046387
bc;da;female;58;size;2;9;high;small;k;0.42109084129333496
bc;da;female;58;size;2;10;high;small;k;0.3319520950317383
bc;da;female;58;size;2;11;low;small;s;0.3575308322906494
bc;da;female;58;size;2;12;high;big;k;0.45047903060913086
bc;da;female;58;size;2;13;low;big;s;0.2620279788970947
bc;da;female;58;size;2;14;low;small;s;0.36180591583251953
bc;da;female;58;size;2;15;low;small;s;0.30556297302246094
bc;da;female;58;size;2;16;high;small;k;0.3958749771118164
bc;da;female;58;size;3;1;high;big;k;0.6710309982299805
bc;da;female;58;size;3;2;low;big;s;0.3276820182800293
bc;da;female;58;size;3;3;low;small;s;0.35458898544311523
bc;da;female;58;size;3;4;low;big;s;0.25127100944519043
bc;da;female;58;size;3;5;high;big;k;0.3596041202545166
bc;da;female;58;size;3;6;high;big;k;0.35145092010498047
bc;da;female;58;size;3;7;high;small;k;0.2634720802307129
bc;da;female;58;size;3;8;low;big;s;0.30858707427978516
bc;da;female;58;size;3;9;low;small;s;0.3880891799926758
bc;da;female;58;size;3;10;high;small;k;0.33493590354919434
bc;da;female;58;size;3;11;high;big;k;0.3206899166107178
bc;da;female;58;size;3;12;low;small;s;0.4586198329925537
bc;da;female;58;size;3;13;low;big;s;0.35313987731933594
bc;da;female;58;size;3;14;high;small;k;0.27663302421569824
bc;da;female;58;size;3;15;low;small;s;0.327394962310791
bc;da;female;58;size;3;16;high;small;k;0.2700951099395752
