participant;language;gender;age;condition;block;trial;sound;visual;key;RT
gs;gr;male;28;size;1;1;low;big;s;2.2202389240264893
gs;gr;male;28;size;1;2;low;small;s;0.5440330505371094
gs;gr;male;28;size;1;3;low;big;s;0.4874889850616455
gs;gr;male;28;size;1;4;low;big;s;0.5531618595123291
gs;gr;male;28;size;1;5;high;small;k;0.46030402183532715
gs;gr;male;28;size;1;6;high;small;k;0.43081092834472656
gs;gr;male;28;size;1;7;high;small;k;0.7633068561553955
gs;gr;male;28;size;1;8;low;big;s;0.4100661277770996
gs;gr;male;28;size;1;9;low;small;s;0.4017670154571533
gs;gr;male;28;size;1;10;high;big;k;0.31313300132751465
gs;gr;male;28;size;1;11;high;small;k;0.46042490005493164
gs;gr;male;28;size;1;12;high;small;k;0.43612194061279297
gs;gr;male;28;size;1;13;high;big;k;0.35488104820251465
gs;gr;male;28;size;1;14;low;big;s;0.35455799102783203
gs;gr;male;28;size;1;15;high;big;k;0.5289261341094971
gs;gr;male;28;size;1;16;low;small;s;0.5467262268066406
gs;gr;male;28;size;2;1;high;big;k;0.6968858242034912
gs;gr;male;28;size;2;2;low;big;s;0.535336971282959
gs;gr;male;28;size;2;3;high;small;k;0.5075058937072754
gs;gr;male;28;size;2;4;low;small;s;0.6682469844818115
gs;gr;male;28;size;2;5;high;small;k;0.5358610153198242
gs;gr;male;28;size;2;6;high;big;k;0.5192809104919434
gs;gr;male;28;size;2;7;high;big;k;0.36106300354003906
gs;gr;male;28;size;2;8;high;small;k;0.3963308334350586
gs;gr;male;28;size;2;9;low;small;s;0.3567678928375244
gs;gr;male;28;size;2;10;high;big;k;0.49164390563964844
gs;gr;male;28;size;2;11;high;small;k;0.5201830863952637
gs;gr;male;28;size;2;12;low;small;s;0.4067709445953369
gs;gr;male;28;size;2;13;low;big;s;0.3915400505065918
gs;gr;male;28;size;2;14;low;small;s;0.5023090839385986
gs;gr;male;28;size;2;15;low;big;s;0.3600940704345703
gs;gr;male;28;size;2;16;low;big;s;0.4189469814300537
gs;gr;male;28;height;3;1;low;low;s;0.867260217666626
gs;gr;male;28;height;3;2;low;low;s;0.3361179828643799
gs;gr;male;28;height;3;3;high;low;k;0.8135321140289307
gs;gr;male;28;height;3;4;high;high;k;0.39061903953552246
gs;gr;male;28;height;3;5;low;high;s;0.35933899879455566
gs;gr;male;28;height;3;6;high;low;k;0.4826700687408447
gs;gr;male;28;height;3;7;high;low;k;0.37627100944519043
gs;gr;male;28;height;3;8;low;high;s;0.36357998847961426
gs;gr;male;28;height;3;9;high;high;k;0.5366590023040771
gs;gr;male;28;height;3;10;low;high;s;0.45714902877807617
gs;gr;male;28;height;3;11;low;high;s;1.4002928733825684
gs;gr;male;28;height;3;12;high;low;k;0.8720369338989258
gs;gr;male;28;height;3;13;high;high;k;1.1839962005615234
