participant;language;gender;age;condition;block;trial;sound;visual;key;RT
ma;da;female;28;height;1;1;low;high;s;0.5467519760131836
ma;da;female;28;height;1;2;low;low;s;0.40403294563293457
ma;da;female;28;height;1;3;high;low;k;0.4255359172821045
ma;da;female;28;height;1;4;low;high;s;0.42365217208862305
ma;da;female;28;height;1;5;high;low;k;0.4781980514526367
ma;da;female;28;height;1;6;low;high;s;0.4158341884613037
ma;da;female;28;height;1;7;high;low;k;0.3662900924682617
ma;da;female;28;height;1;8;high;high;k;0.5678651332855225
ma;da;female;28;height;1;9;high;low;k;0.431063175201416
ma;da;female;28;height;1;10;low;low;s;0.4693601131439209
ma;da;female;28;height;1;11;high;high;k;0.9981420040130615
ma;da;female;28;height;1;12;low;high;s;0.48064684867858887
ma;da;female;28;height;1;13;low;high;s;0.5635359287261963
ma;da;female;28;height;1;14;low;low;k;0.738598108291626
ma;da;female;28;height;1;15;high;low;k;0.6647469997406006
ma;da;female;28;height;1;16;high;high;k;0.5803349018096924
ma;da;female;28;height;1;17;low;low;s;0.6072239875793457
ma;da;female;28;height;1;18;high;low;k;0.6632421016693115
ma;da;female;28;height;1;19;high;high;k;0.6503889560699463
ma;da;female;28;height;1;20;low;high;s;0.7080249786376953
ma;da;female;28;height;2;1;low;low;s;0.6488611698150635
ma;da;female;28;height;2;2;high;high;k;0.49634599685668945
ma;da;female;28;height;2;3;low;high;s;0.7617340087890625
ma;da;female;28;height;2;4;high;high;k;0.6698710918426514
ma;da;female;28;height;2;5;high;low;k;0.5626661777496338
ma;da;female;28;height;2;6;low;low;s;0.48084521293640137
ma;da;female;28;height;2;7;high;high;k;1.0592331886291504
ma;da;female;28;height;2;8;high;low;k;0.5461440086364746
ma;da;female;28;height;2;9;high;low;k;0.4964630603790283
ma;da;female;28;height;2;10;high;low;k;0.4392361640930176
ma;da;female;28;height;2;11;low;low;s;0.5216960906982422
ma;da;female;28;height;2;12;low;low;s;0.46483612060546875
ma;da;female;28;height;2;13;high;low;k;0.4993469715118408
ma;da;female;28;height;2;14;low;high;s;1.2789928913116455
ma;da;female;28;height;2;15;low;high;s;0.5382099151611328
ma;da;female;28;height;2;16;low;high;s;0.5079128742218018
ma;da;female;28;height;2;17;high;high;k;0.48233699798583984
ma;da;female;28;height;2;18;high;high;k;0.7374382019042969
ma;da;female;28;height;2;19;low;high;s;0.5174880027770996
ma;da;female;28;height;2;20;low;low;s;0.5249900817871094
ma;da;female;28;height;3;1;low;low;s;1.2716140747070312
ma;da;female;28;height;3;2;high;high;k;0.43332695960998535
ma;da;female;28;height;3;3;high;low;k;0.4851698875427246
ma;da;female;28;height;3;4;low;high;s;0.41341304779052734
ma;da;female;28;height;3;5;high;low;k;0.4303438663482666
ma;da;female;28;height;3;6;low;high;s;0.3989531993865967
ma;da;female;28;height;3;7;low;low;s;0.9845080375671387
ma;da;female;28;height;3;8;low;high;s;0.4774770736694336
ma;da;female;28;height;3;9;high;high;k;0.47792983055114746
ma;da;female;28;height;3;10;high;high;k;0.5128960609436035
ma;da;female;28;height;3;11;low;high;s;0.7235569953918457
ma;da;female;28;height;3;12;high;low;k;0.7955958843231201
ma;da;female;28;height;3;13;low;low;s;0.5390651226043701
ma;da;female;28;height;3;14;high;high;k;0.511260986328125
ma;da;female;28;height;3;15;low;low;s;0.5275309085845947
ma;da;female;28;height;3;16;low;low;s;0.49826502799987793
