participant;language;gender;age;condition;block;trial;sound;visual;key;RT
pc;da;male;33;height;1;1;low;low;s;0.35405397415161133
pc;da;male;33;height;1;2;high;low;k;0.5593218803405762
pc;da;male;33;height;1;3;low;low;s;0.5261697769165039
pc;da;male;33;height;1;4;high;high;k;0.4718759059906006
pc;da;male;33;height;1;5;high;high;k;0.4241971969604492
pc;da;male;33;height;1;6;low;low;s;0.3466510772705078
pc;da;male;33;height;1;7;high;high;k;0.27385783195495605
pc;da;male;33;height;1;8;low;low;s;0.32311201095581055
pc;da;male;33;height;1;9;high;high;k;0.3224949836730957
pc;da;male;33;height;1;10;low;low;s;0.2737710475921631
pc;da;male;33;height;1;11;low;low;s;0.3638930320739746
pc;da;male;33;height;1;12;high;low;s;0.5280640125274658
pc;da;male;33;height;1;13;high;high;k;0.5287148952484131
pc;da;male;33;height;1;14;low;high;s;0.3985269069671631
pc;da;male;33;height;1;15;high;high;k;0.36313700675964355
pc;da;male;33;height;1;16;low;high;s;0.34589195251464844
pc;da;male;33;height;2;1;low;high;s;0.7983019351959229
pc;da;male;33;height;2;2;high;high;k;0.5986449718475342
pc;da;male;33;height;2;3;high;low;k;0.33421897888183594
pc;da;male;33;height;2;4;low;high;s;0.37737202644348145
pc;da;male;33;height;2;5;high;high;k;0.34606003761291504
pc;da;male;33;height;2;6;high;high;s;0.3091459274291992
pc;da;male;33;height;2;7;low;low;s;0.4203639030456543
pc;da;male;33;height;2;8;low;high;s;1.036564826965332
pc;da;male;33;height;2;9;high;high;k;0.36695098876953125
pc;da;male;33;height;2;10;low;high;k;0.599923849105835
pc;da;male;33;height;2;11;high;low;s;0.3962419033050537
pc;da;male;33;height;2;12;low;low;s;0.40671610832214355
pc;da;male;33;height;2;13;low;low;s;0.5113260746002197
pc;da;male;33;height;2;14;high;low;k;0.563586950302124
pc;da;male;33;height;2;15;high;low;k;0.5273270606994629
pc;da;male;33;height;2;16;low;low;s;0.3800029754638672
pc;da;male;33;size;3;1;low;big;s;0.6943948268890381
pc;da;male;33;size;3;2;high;big;k;0.53590989112854
pc;da;male;33;size;3;3;high;small;k;0.40278100967407227
pc;da;male;33;size;3;4;low;small;s;0.38636207580566406
pc;da;male;33;size;3;5;high;small;k;0.4004180431365967
pc;da;male;33;size;3;6;high;big;k;0.4360978603363037
pc;da;male;33;size;3;7;low;big;s;0.4379391670227051
pc;da;male;33;size;3;8;high;small;k;0.41446995735168457
pc;da;male;33;size;3;9;low;big;s;0.29871392250061035
pc;da;male;33;size;3;10;high;big;k;0.3145458698272705
pc;da;male;33;size;3;11;low;small;s;0.2991971969604492
pc;da;male;33;size;3;12;high;big;k;0.2583739757537842
pc;da;male;33;size;3;13;low;small;s;0.2930598258972168
pc;da;male;33;size;3;14;low;big;k;0.3536229133605957
pc;da;male;33;size;3;15;low;small;s;0.3631420135498047
pc;da;male;33;size;3;16;high;small;k;0.6886510848999023
pc;da;male;33;height;4;1;low;high;s;0.40020203590393066
pc;da;male;33;height;4;2;low;high;s;0.33830785751342773
pc;da;male;33;height;4;3;low;low;s;0.4625720977783203
pc;da;male;33;height;4;4;high;low;k;0.33203911781311035
pc;da;male;33;height;4;5;low;low;s;0.4647519588470459
pc;da;male;33;height;4;6;low;high;s;0.7263960838317871
pc;da;male;33;height;4;7;high;low;k;0.3105919361114502
pc;da;male;33;height;4;8;high;low;k;0.36603212356567383
pc;da;male;33;height;4;9;low;high;s;0.25863003730773926
pc;da;male;33;height;4;10;low;low;s;0.3344099521636963
pc;da;male;33;height;4;11;high;high;k;0.5145859718322754
pc;da;male;33;height;4;12;high;low;k;0.35195112228393555
pc;da;male;33;height;4;13;high;high;k;0.3423619270324707
pc;da;male;33;height;4;14;high;low;s;0.37516283988952637
pc;da;male;33;height;4;15;low;high;s;0.3725719451904297
pc;da;male;33;height;4;16;high;high;k;0.28401708602905273
pc;da;male;33;height;5;1;high;low;k;0.4016299247741699
pc;da;male;33;height;5;2;low;low;s;0.5851359367370605
pc;da;male;33;height;5;3;high;high;k;0.4485960006713867
pc;da;male;33;height;5;4;high;low;k;0.33692288398742676
pc;da;male;33;height;5;5;low;high;s;0.48459792137145996
pc;da;male;33;height;5;6;high;low;k;0.2798960208892822
pc;da;male;33;height;5;7;high;low;k;0.4667961597442627
pc;da;male;33;height;5;8;low;high;s;0.2955460548400879
pc;da;male;33;height;5;9;high;low;k;0.3184950351715088
pc;da;male;33;height;5;10;high;low;k;0.3101980686187744
pc;da;male;33;height;5;11;low;high;s;0.26174497604370117
pc;da;male;33;height;5;12;low;high;s;0.39195990562438965
pc;da;male;33;height;5;13;low;high;s;0.7666728496551514
pc;da;male;33;height;5;14;high;high;k;0.5601921081542969
pc;da;male;33;height;5;15;low;high;s;0.80837082862854
pc;da;male;33;height;5;16;low;low;s;0.5853569507598877
pc;da;male;33;size;6;1;low;big;s;0.6467969417572021
pc;da;male;33;size;6;2;high;small;k;0.3823080062866211
pc;da;male;33;size;6;3;high;small;k;0.34127211570739746
pc;da;male;33;size;6;4;low;small;s;0.3035590648651123
pc;da;male;33;size;6;5;high;big;k;0.35736799240112305
pc;da;male;33;size;6;6;high;big;k;0.32373499870300293
pc;da;male;33;size;6;7;high;small;k;0.28644514083862305
pc;da;male;33;size;6;8;low;small;s;0.27724194526672363
pc;da;male;33;size;6;9;low;big;k;0.34717392921447754
pc;da;male;33;size;6;10;low;small;s;1.5521130561828613
pc;da;male;33;size;6;11;low;big;s;0.42186689376831055
pc;da;male;33;size;6;12;high;small;k;0.36817097663879395
pc;da;male;33;size;6;13;low;big;s;0.3562610149383545
pc;da;male;33;size;6;14;high;small;k;0.3298780918121338
pc;da;male;33;size;6;15;low;big;s;0.38294196128845215
pc;da;male;33;size;6;16;high;big;s;8.501641035079956
pc;da;male;33;size;7;1;high;small;k;0.5522139072418213
pc;da;male;33;size;7;2;high;big;k;0.38979101181030273
pc;da;male;33;size;7;3;high;small;k;0.41383886337280273
pc;da;male;33;size;7;4;low;big;s;0.4120290279388428
pc;da;male;33;size;7;5;low;big;s;0.29027700424194336
pc;da;male;33;size;7;6;high;small;k;0.4193458557128906
pc;da;male;33;size;7;7;high;big;k;0.280987024307251
pc;da;male;33;size;7;8;high;big;k;0.43407702445983887
pc;da;male;33;size;7;9;low;small;s;0.3212738037109375
pc;da;male;33;size;7;10;low;big;s;0.3753020763397217
pc;da;male;33;size;7;11;high;big;k;0.32535386085510254
pc;da;male;33;size;7;12;high;small;k;0.31145596504211426
pc;da;male;33;size;7;13;low;big;s;0.2747178077697754
pc;da;male;33;size;7;14;low;small;s;0.3618960380554199
pc;da;male;33;size;7;15;low;small;s;0.36203789710998535
pc;da;male;33;size;7;16;low;small;s;0.269366979598999
pc;da;male;33;height;8;1;high;low;s;0.46942710876464844
pc;da;male;33;height;8;2;high;high;k;0.2808041572570801
pc;da;male;33;height;8;3;high;low;k;0.30681896209716797
pc;da;male;33;height;8;4;high;low;k;0.35654306411743164
pc;da;male;33;height;8;5;low;low;s;0.30817103385925293
pc;da;male;33;height;8;6;low;high;s;2.2224080562591553
pc;da;male;33;height;8;7;low;low;s;0.7170419692993164
pc;da;male;33;height;8;8;low;low;s;0.44657206535339355
pc;da;male;33;height;8;9;low;low;s;0.4948580265045166
pc;da;male;33;height;8;10;low;high;s;0.878291130065918
pc;da;male;33;height;8;11;low;low;s;0.7648928165435791
pc;da;male;33;height;8;12;low;high;s;0.4500160217285156
pc;da;male;33;height;8;13;high;high;k;0.47631216049194336
pc;da;male;33;height;8;14;high;high;k;0.3301210403442383
pc;da;male;33;height;8;15;high;high;k;0.2753739356994629
pc;da;male;33;height;8;16;high;high;k;0.41747188568115234
pc;da;male;33;size;9;1;low;small;s;0.2833878993988037
pc;da;male;33;size;9;2;low;small;s;0.24909615516662598
pc;da;male;33;size;9;3;low;big;s;0.238739013671875
pc;da;male;33;size;9;4;high;small;k;0.3204669952392578
pc;da;male;33;size;9;5;low;big;s;0.33629703521728516
pc;da;male;33;size;9;6;low;big;s;0.3557579517364502
pc;da;male;33;size;9;7;high;big;k;1.0385451316833496
pc;da;male;33;size;9;8;high;small;k;0.5365099906921387
pc;da;male;33;size;9;9;low;big;s;0.7213890552520752
pc;da;male;33;size;9;10;high;big;k;0.26697206497192383
pc;da;male;33;size;9;11;low;big;s;0.3144509792327881
pc;da;male;33;size;9;12;high;small;k;0.28984904289245605
pc;da;male;33;size;9;13;high;big;k;2.624840021133423
pc;da;male;33;size;9;14;high;small;k;1.003154993057251
pc;da;male;33;size;9;15;low;small;s;0.39353394508361816
pc;da;male;33;size;9;16;high;small;k;0.4501028060913086
pc;da;male;33;size;10;1;high;big;k;0.35271787643432617
pc;da;male;33;size;10;2;low;small;s;0.5575649738311768
pc;da;male;33;size;10;3;high;big;k;0.38762712478637695
