participant;language;gender;age;condition;block;trial;sound;visual;key;RT
vc2;da;male;63;height;1;1;high;high;s;1.9679019451141357
vc2;da;male;63;height;1;2;high;low;k;1.6054389476776123
vc2;da;male;63;height;1;3;low;high;s;0.8289768695831299
vc2;da;male;63;height;1;4;low;high;s;0.7073709964752197
vc2;da;male;63;height;1;5;low;high;s;0.5700910091400146
vc2;da;male;63;height;1;6;high;high;k;0.7450211048126221
vc2;da;male;63;height;1;7;low;low;s;0.9346919059753418
vc2;da;male;63;height;1;8;high;low;k;0.3699519634246826
vc2;da;male;63;height;1;9;low;high;s;1.0334081649780273
vc2;da;male;63;height;1;10;low;high;s;0.9176361560821533
vc2;da;male;63;height;1;11;low;low;s;0.6903769969940186
vc2;da;male;63;height;1;12;low;low;s;0.9091160297393799
vc2;da;male;63;height;1;13;high;low;k;0.656635046005249
vc2;da;male;63;height;1;14;high;low;k;0.6099040508270264
vc2;da;male;63;height;1;15;high;low;k;0.613029956817627
vc2;da;male;63;height;1;16;high;high;k;0.5958099365234375
vc2;da;male;63;height;2;1;low;high;s;0.7052030563354492
vc2;da;male;63;height;2;2;high;low;k;0.40267491340637207
vc2;da;male;63;height;2;3;high;high;s;0.4669361114501953
vc2;da;male;63;height;2;4;high;high;s;0.5024580955505371
vc2;da;male;63;height;2;5;low;low;k;0.48729705810546875
vc2;da;male;63;height;2;6;low;low;k;0.3021252155303955
vc2;da;male;63;height;2;7;low;high;k;0.3160269260406494
vc2;da;male;63;height;2;8;low;high;k;0.2774009704589844
vc2;da;male;63;height;2;9;high;low;s;0.505702018737793
vc2;da;male;63;height;2;10;high;low;s;0.40935683250427246
vc2;da;male;63;height;2;11;low;high;k;0.5661129951477051
vc2;da;male;63;height;2;12;high;low;s;0.3973078727722168
vc2;da;male;63;height;2;13;low;high;k;0.5838019847869873
vc2;da;male;63;height;2;14;high;high;s;0.5768780708312988
vc2;da;male;63;height;2;15;low;low;s;5.733802795410156
vc2;da;male;63;height;2;16;high;low;k;4.111647844314575
vc2;da;male;63;size;3;1;high;big;k;0.852139949798584
vc2;da;male;63;size;3;2;low;small;s;0.6177830696105957
vc2;da;male;63;size;3;3;low;big;s;0.6557021141052246
vc2;da;male;63;size;3;4;low;big;s;0.5575811862945557
vc2;da;male;63;size;3;5;low;small;s;1.1125798225402832
vc2;da;male;63;size;3;6;high;small;k;0.7999930381774902
vc2;da;male;63;size;3;7;low;small;s;0.7308580875396729
vc2;da;male;63;size;3;8;low;big;s;0.9840750694274902
vc2;da;male;63;size;3;9;high;big;k;0.4800379276275635
vc2;da;male;63;size;3;10;high;big;k;3.062380075454712
vc2;da;male;63;size;3;11;high;small;k;0.573760986328125
vc2;da;male;63;size;3;12;high;big;k;0.9538099765777588
vc2;da;male;63;size;3;13;low;small;s;0.5583219528198242
vc2;da;male;63;size;3;14;low;big;s;0.6097021102905273
vc2;da;male;63;size;3;15;high;small;k;0.5033159255981445
vc2;da;male;63;size;3;16;high;small;k;0.6394171714782715
vc2;da;male;63;height;4;1;low;low;s;0.7496511936187744
vc2;da;male;63;height;4;2;low;low;s;0.4602060317993164
vc2;da;male;63;height;4;3;low;low;s;0.3153829574584961
vc2;da;male;63;height;4;4;high;low;k;0.5294680595397949
vc2;da;male;63;height;4;5;low;low;s;0.5116651058197021
vc2;da;male;63;height;4;6;high;high;k;0.5263359546661377
vc2;da;male;63;height;4;7;high;low;k;1.3659789562225342
vc2;da;male;63;height;4;8;low;low;s;0.3558931350708008
vc2;da;male;63;height;4;9;high;high;k;0.600836992263794
vc2;da;male;63;height;4;10;high;high;k;1.2184679508209229
vc2;da;male;63;height;4;11;low;high;s;0.8461439609527588
vc2;da;male;63;height;4;12;low;high;s;0.5977671146392822
vc2;da;male;63;height;4;13;high;high;k;0.6144869327545166
vc2;da;male;63;height;4;14;high;low;k;0.6287682056427002
vc2;da;male;63;height;4;15;low;high;s;0.48909592628479004
vc2;da;male;63;height;4;16;high;high;k;0.6414568424224854
vc2;da;male;63;height;5;1;low;low;s;1.5602190494537354
vc2;da;male;63;height;5;2;low;high;s;0.5057308673858643
vc2;da;male;63;height;5;3;low;low;s;0.33883213996887207
vc2;da;male;63;height;5;4;high;high;k;0.30434298515319824
vc2;da;male;63;height;5;5;low;low;s;1.5900750160217285
vc2;da;male;63;height;5;6;low;high;s;0.6590149402618408
vc2;da;male;63;height;5;7;high;high;k;0.3610248565673828
vc2;da;male;63;height;5;8;low;high;s;0.6520590782165527
vc2;da;male;63;height;5;9;high;low;k;0.8239412307739258
vc2;da;male;63;height;5;10;high;low;k;0.60807204246521
vc2;da;male;63;height;5;11;high;low;k;0.6754190921783447
vc2;da;male;63;height;5;12;high;high;k;0.5720481872558594
vc2;da;male;63;height;5;13;high;low;k;0.5340189933776855
vc2;da;male;63;height;5;14;low;high;s;0.2912111282348633
vc2;da;male;63;height;5;15;high;low;k;0.47008299827575684
vc2;da;male;63;height;5;16;low;high;s;0.6917679309844971
vc2;da;male;63;height;6;1;high;low;s;0.7313520908355713
vc2;da;male;63;height;6;2;high;high;k;0.5210800170898438
vc2;da;male;63;height;6;3;high;high;k;0.4174787998199463
vc2;da;male;63;height;6;4;high;low;k;0.723646879196167
vc2;da;male;63;height;6;5;low;high;s;0.4477369785308838
vc2;da;male;63;height;6;6;low;low;s;0.6543569564819336
vc2;da;male;63;height;6;7;low;low;s;0.5677440166473389
vc2;da;male;63;height;6;8;high;high;k;0.4353339672088623
vc2;da;male;63;height;6;9;high;low;k;1.1036131381988525
vc2;da;male;63;height;6;10;high;low;k;0.49091196060180664
vc2;da;male;63;height;6;11;low;low;s;0.8093669414520264
vc2;da;male;63;height;6;12;high;high;k;0.5200011730194092
vc2;da;male;63;height;6;13;low;low;s;1.2207791805267334
vc2;da;male;63;height;6;14;low;high;k;0.38848400115966797
vc2;da;male;63;height;6;15;low;high;s;0.825908899307251
vc2;da;male;63;height;6;16;low;high;s;0.8681330680847168
vc2;da;male;63;size;7;1;high;big;k;1.161017894744873
vc2;da;male;63;size;7;2;low;big;s;0.6665089130401611
vc2;da;male;63;size;7;3;high;big;k;0.7435619831085205
vc2;da;male;63;size;7;4;low;small;s;0.9990170001983643
vc2;da;male;63;size;7;5;high;big;k;0.6857450008392334
vc2;da;male;63;size;7;6;high;big;s;0.3323338031768799
vc2;da;male;63;size;7;7;low;big;s;1.2736330032348633
vc2;da;male;63;size;7;8;low;small;s;0.7205719947814941
vc2;da;male;63;size;7;9;low;small;s;1.698850154876709
vc2;da;male;63;size;7;10;high;small;k;0.49687886238098145
vc2;da;male;63;size;7;11;high;small;k;0.6972801685333252
vc2;da;male;63;size;7;12;low;small;s;0.8395440578460693
vc2;da;male;63;size;7;13;high;small;k;0.9437961578369141
vc2;da;male;63;size;7;14;high;small;k;1.037696123123169
vc2;da;male;63;size;7;15;low;big;s;0.5911710262298584
vc2;da;male;63;size;7;16;low;big;s;0.9042191505432129
vc2;da;male;63;height;8;1;high;high;k;0.5891461372375488
vc2;da;male;63;height;8;2;high;high;k;0.31208109855651855
vc2;da;male;63;height;8;3;low;high;s;0.6356229782104492
vc2;da;male;63;height;8;4;high;low;k;0.5771138668060303
vc2;da;male;63;height;8;5;low;high;s;1.4071810245513916
vc2;da;male;63;height;8;6;low;high;s;1.5225770473480225
vc2;da;male;63;height;8;7;high;low;k;0.6579229831695557
vc2;da;male;63;height;8;8;high;low;k;0.6092369556427002
vc2;da;male;63;height;8;9;high;high;k;0.652850866317749
vc2;da;male;63;height;8;10;low;low;s;0.5423681735992432
vc2;da;male;63;height;8;11;low;high;s;0.49930691719055176
vc2;da;male;63;height;8;12;high;low;k;1.1062490940093994
vc2;da;male;63;height;8;13;low;low;s;0.5307369232177734
