participant;language;gender;age;condition;block;trial;sound;visual;key;RT
ARF1;Afrikaans;female;21;size;1;1;high;small;k;0.9323458215221763
ARF1;Afrikaans;female;21;size;1;2;high;big;k;0.6779667707160115
ARF1;Afrikaans;female;21;size;1;3;low;big;s;0.7257892554625869
ARF1;Afrikaans;female;21;size;1;4;low;big;s;0.6950290305539966
ARF1;Afrikaans;female;21;size;1;5;high;small;k;0.6648944551125169
ARF1;Afrikaans;female;21;size;1;6;high;big;k;0.5860255649313331
ARF1;Afrikaans;female;21;size;1;7;low;small;s;1.1635770397260785
ARF1;Afrikaans;female;21;size;1;8;low;small;s;0.6249768594279885
ARF1;Afrikaans;female;21;size;1;9;high;small;k;0.6702631944790483
ARF1;Afrikaans;female;21;size;1;10;low;big;s;0.7727409629151225
ARF1;Afrikaans;female;21;size;1;11;low;big;s;0.9448520923033357
ARF1;Afrikaans;female;21;size;1;12;low;big;s;1.0851518278941512
ARF1;Afrikaans;female;21;size;1;13;high;small;k;0.7006800035014749
ARF1;Afrikaans;female;21;size;1;14;high;big;k;0.9095421945676208
ARF1;Afrikaans;female;21;size;1;15;low;small;s;0.5954730631783605
ARF1;Afrikaans;female;21;size;1;16;high;small;k;0.6479439046233892
ARF1;Afrikaans;female;21;height;2;1;high;high;k;1.146502542309463
ARF1;Afrikaans;female;21;height;2;2;low;high;s;0.6833339324221015
ARF1;Afrikaans;female;21;height;2;3;high;high;k;1.7712224312126637
ARF1;Afrikaans;female;21;height;2;4;low;high;s;0.6592036141082644
ARF1;Afrikaans;female;21;height;2;5;low;low;s;0.8779865857213736
ARF1;Afrikaans;female;21;height;2;6;high;low;k;0.6535561932250857
ARF1;Afrikaans;female;21;height;2;7;low;low;s;0.9394928254187107
ARF1;Afrikaans;female;21;height;2;8;high;low;k;0.5970815941691399
ARF1;Afrikaans;female;21;height;2;9;high;high;k;0.652993306517601
ARF1;Afrikaans;female;21;height;2;10;low;low;s;0.5978228989988565
ARF1;Afrikaans;female;21;height;2;11;high;low;k;0.6413203133270144
ARF1;Afrikaans;female;21;height;2;12;low;high;s;0.5815445752814412
ARF1;Afrikaans;female;21;height;2;13;high;low;k;0.569359615445137
ARF1;Afrikaans;female;21;height;2;14;low;high;s;0.6984706921502948
ARF1;Afrikaans;female;21;height;2;15;high;low;k;0.9436880303546786
ARF1;Afrikaans;female;21;height;2;16;low;high;s;0.577662393450737
ARF1;Afrikaans;female;21;height;3;1;low;low;s;1.5127069922164083
ARF1;Afrikaans;female;21;height;3;2;low;high;s;0.7095713252201676
ARF1;Afrikaans;female;21;height;3;3;high;high;k;0.8896769480779767
ARF1;Afrikaans;female;21;height;3;4;low;high;s;0.6631971104070544
ARF1;Afrikaans;female;21;height;3;5;high;high;k;0.7604624517261982
ARF1;Afrikaans;female;21;height;3;6;high;high;k;0.5601394819095731
ARF1;Afrikaans;female;21;height;3;7;high;high;k;0.5672967499122024
ARF1;Afrikaans;female;21;height;3;8;low;low;s;0.5524769583716989
ARF1;Afrikaans;female;21;height;3;9;low;low;s;0.5574237313121557
ARF1;Afrikaans;female;21;height;3;10;low;low;s;0.5234811827540398
ARF1;Afrikaans;female;21;height;3;11;high;low;k;0.593835717998445
ARF1;Afrikaans;female;21;height;3;12;low;low;s;0.7009227629750967
ARF1;Afrikaans;female;21;height;3;13;high;low;k;0.6032520337030292
ARF1;Afrikaans;female;21;height;3;14;high;low;k;0.6064986987039447
ARF1;Afrikaans;female;21;height;3;15;low;high;s;0.6836726116016507
ARF1;Afrikaans;female;21;height;3;16;high;high;k;0.6411189995706081
ARF1;Afrikaans;female;21;height;4;1;high;high;k;0.9562246948480606
ARF1;Afrikaans;female;21;height;4;2;high;low;k;0.639616652391851
ARF1;Afrikaans;female;21;height;4;3;low;low;s;0.6267870962619781
ARF1;Afrikaans;female;21;height;4;4;high;low;k;0.6201599529013038
ARF1;Afrikaans;female;21;height;4;5;low;high;s;0.5054814359173179
ARF1;Afrikaans;female;21;height;4;6;high;low;k;1.117145192809403
ARF1;Afrikaans;female;21;height;4;7;low;high;s;0.5175223182886839
ARF1;Afrikaans;female;21;height;4;8;low;low;s;0.6292660096660256
ARF1;Afrikaans;female;21;height;4;9;high;high;k;0.5300112217664719
ARF1;Afrikaans;female;21;height;4;10;high;low;k;0.728676320053637
ARF1;Afrikaans;female;21;height;4;11;low;high;s;0.4763388196006417
ARF1;Afrikaans;female;21;height;4;12;high;high;k;0.725740703754127
ARF1;Afrikaans;female;21;height;4;13;low;high;s;0.6798204286023974
ARF1;Afrikaans;female;21;height;4;14;low;low;s;0.6970251863822341
ARF1;Afrikaans;female;21;height;4;15;low;high;s;0.6428964752703905
ARF1;Afrikaans;female;21;height;4;16;high;low;k;0.6020433660596609
ARF1;Afrikaans;female;21;size;5;1;low;small;s;0.9942748174071312
ARF1;Afrikaans;female;21;size;5;2;high;big;k;0.6418180698528886
ARF1;Afrikaans;female;21;size;5;3;low;big;s;0.6677980981767178
ARF1;Afrikaans;female;21;size;5;4;low;big;s;0.8829759899526834
ARF1;Afrikaans;female;21;size;5;5;low;big;s;0.5229060584679246
ARF1;Afrikaans;female;21;size;5;6;high;big;k;0.5800055181607604
ARF1;Afrikaans;female;21;size;5;7;low;small;s;0.6903996216133237
ARF1;Afrikaans;female;21;size;5;8;high;small;s;0.6432568645104766
ARF1;Afrikaans;female;21;size;5;9;high;small;k;0.7617563810199499
ARF1;Afrikaans;female;21;size;5;10;high;small;k;0.6666387729346752
ARF1;Afrikaans;female;21;size;5;11;high;big;k;0.6191158890724182
ARF1;Afrikaans;female;21;size;5;12;low;small;s;0.5522701190784574
ARF1;Afrikaans;female;21;size;5;13;high;big;k;0.7126087825745344
ARF1;Afrikaans;female;21;size;5;14;high;big;k;0.6232325406745076
ARF1;Afrikaans;female;21;size;5;15;low;small;s;0.5727965412661433
ARF1;Afrikaans;female;21;size;5;16;low;small;s;0.6773549374192953
ARF1;Afrikaans;female;21;height;6;1;high;high;k;0.8458704594522715
ARF1;Afrikaans;female;21;height;6;2;high;low;k;0.5869235787540674
ARF1;Afrikaans;female;21;height;6;3;low;low;s;0.640494929626584
ARF1;Afrikaans;female;21;height;6;4;low;high;s;0.7820542529225349
ARF1;Afrikaans;female;21;height;6;5;low;high;s;0.6371365552768111
ARF1;Afrikaans;female;21;height;6;6;low;high;s;0.5506505370140076
ARF1;Afrikaans;female;21;height;6;7;low;high;s;0.6447086865082383
ARF1;Afrikaans;female;21;height;6;8;high;high;k;0.5710684070363641
ARF1;Afrikaans;female;21;height;6;9;high;low;k;0.6417260970920324
ARF1;Afrikaans;female;21;height;6;10;high;high;k;0.6209979681298137
ARF1;Afrikaans;female;21;height;6;11;high;high;k;0.5374526958912611
ARF1;Afrikaans;female;21;height;6;12;high;low;k;0.6336672632023692
ARF1;Afrikaans;female;21;height;6;13;low;low;s;0.582272064872086
ARF1;Afrikaans;female;21;height;6;14;low;low;s;0.6160081699490547
ARF1;Afrikaans;female;21;height;6;15;low;low;s;0.567818583920598
ARF1;Afrikaans;female;21;height;6;16;high;low;k;0.7046099482104182
ARF1;Afrikaans;female;21;size;7;1;high;big;k;0.7025699764490128
ARF1;Afrikaans;female;21;size;7;2;high;small;k;0.5491955569013953
ARF1;Afrikaans;female;21;size;7;3;low;big;s;0.5625212909653783
ARF1;Afrikaans;female;21;size;7;4;high;small;k;0.6542971041053534
ARF1;Afrikaans;female;21;size;7;5;low;small;s;0.49138795025646687
ARF1;Afrikaans;female;21;size;7;6;high;big;k;0.5885936869308352
ARF1;Afrikaans;female;21;size;7;7;high;small;k;0.6749087879434228
ARF1;Afrikaans;female;21;size;7;8;low;big;s;0.5916757481172681
ARF1;Afrikaans;female;21;size;7;9;low;big;s;0.6613485841080546
ARF1;Afrikaans;female;21;size;7;10;low;small;s;0.6072052670642734
ARF1;Afrikaans;female;21;size;7;11;low;small;s;0.5355331180617213
ARF1;Afrikaans;female;21;size;7;12;low;small;s;0.5594415972009301
ARF1;Afrikaans;female;21;size;7;13;high;big;k;0.5841063810512424
ARF1;Afrikaans;female;21;size;7;14;high;big;k;0.6576112676411867
ARF1;Afrikaans;female;21;size;7;15;high;small;k;0.6216658521443605
ARF1;Afrikaans;female;21;size;7;16;low;big;s;0.5747358556836843
ARF1;Afrikaans;female;21;size;8;1;low;big;s;0.7204982778057456
ARF1;Afrikaans;female;21;size;8;2;low;small;s;0.5570132099092007
ARF1;Afrikaans;female;21;size;8;3;high;big;k;0.6176944607868791
ARF1;Afrikaans;female;21;size;8;4;low;big;s;0.5422301292419434
ARF1;Afrikaans;female;21;size;8;5;low;big;s;0.5900427447631955
ARF1;Afrikaans;female;21;size;8;6;high;big;k;0.6710668681189418
ARF1;Afrikaans;female;21;size;8;7;high;small;k;0.6474832519888878
ARF1;Afrikaans;female;21;size;8;8;high;small;k;0.5965309431776404
ARF1;Afrikaans;female;21;size;8;9;low;small;s;0.6436476493254304
ARF1;Afrikaans;female;21;size;8;10;high;small;k;0.6843882594257593
ARF1;Afrikaans;female;21;size;8;11;high;small;k;0.5763968853279948
ARF1;Afrikaans;female;21;size;8;12;low;big;s;0.5193720292299986
ARF1;Afrikaans;female;21;size;8;13;high;small;k;0.7788142990320921
ARF1;Afrikaans;female;21;size;8;14;high;big;k;0.6651139259338379
ARF1;Afrikaans;female;21;size;8;15;low;big;s;0.6421575378626585
ARF1;Afrikaans;female;21;size;8;16;low;small;s;0.7132285106927156
ARF1;Afrikaans;female;21;size;9;1;low;small;s;0.7241882253438234
ARF1;Afrikaans;female;21;size;9;2;high;small;k;0.5588656840845942
ARF1;Afrikaans;female;21;size;9;3;low;small;s;0.6466645793989301
ARF1;Afrikaans;female;21;size;9;4;high;big;k;0.6462576119229198
ARF1;Afrikaans;female;21;size;9;5;high;small;k;0.6342005450278521
ARF1;Afrikaans;female;21;size;9;6;high;small;k;0.6286186501383781
ARF1;Afrikaans;female;21;size;9;7;high;small;k;0.5739613929763436
ARF1;Afrikaans;female;21;size;9;8;low;big;s;0.5696572428569198
ARF1;Afrikaans;female;21;size;9;9;low;big;s;0.66689258441329
ARF1;Afrikaans;female;21;size;9;10;low;big;s;0.6510855704545975
ARF1;Afrikaans;female;21;size;9;11;high;big;k;0.5405466007068753
ARF1;Afrikaans;female;21;size;9;12;low;small;s;0.6059559425339103
