participant;language;gender;age;condition;block;trial;sound;visual;key;RT
F34;Xh;female;24;height;1;1;high;low;s;0.9454804687411524
F34;Xh;female;24;height;1;2;low;low;k;0.6278420383459888
F34;Xh;female;24;height;1;3;low;high;k;0.6479348088032566
F34;Xh;female;24;height;1;4;high;high;s;0.6620560372830369
F34;Xh;female;24;height;1;5;high;low;s;0.7231652646441944
F34;Xh;female;24;height;1;6;low;high;k;0.5940180370234884
F34;Xh;female;24;height;1;7;high;low;s;0.6621886680368334
F34;Xh;female;24;height;1;8;low;high;k;0.6316322780330665
F34;Xh;female;24;height;1;9;low;high;s;0.5586364137125202
F34;Xh;female;24;height;1;10;high;low;s;0.9305326664471067
F34;Xh;female;24;height;1;11;high;low;s;0.6943263640278019
F34;Xh;female;24;height;1;12;high;low;s;0.6510611052508466
F34;Xh;female;24;height;1;13;low;high;k;0.6666507457266562
F34;Xh;female;24;height;1;14;low;high;k;0.6819210459943861
F34;Xh;female;24;height;1;15;high;low;s;0.6252202124451287
F34;Xh;female;24;height;1;16;low;high;k;0.5974522262695245
F34;Xh;female;24;size;2;1;high;small;s;0.7483726087375544
F34;Xh;female;24;size;2;2;high;big;s;0.6123783181537874
F34;Xh;female;24;size;2;3;low;big;k;0.5715801494661719
F34;Xh;female;24;size;2;4;low;small;k;0.6012369397212751
F34;Xh;female;24;size;2;5;low;big;k;0.6501808475586586
F34;Xh;female;24;size;2;6;high;big;s;0.6496803243644536
F34;Xh;female;24;size;2;7;low;big;k;0.71734609012492
F34;Xh;female;24;size;2;8;low;small;k;0.6562254154123366
F34;Xh;female;24;size;2;9;low;big;k;0.6180873618577607
F34;Xh;female;24;size;2;10;low;small;k;0.623087462503463
F34;Xh;female;24;size;2;11;high;big;s;0.5579215496545658
F34;Xh;female;24;size;2;12;high;small;s;0.6024393006809987
F34;Xh;female;24;size;2;13;high;small;s;0.6087964982143603
F34;Xh;female;24;size;2;14;high;small;s;0.5747518403804861
F34;Xh;female;24;size;2;15;low;big;k;0.6500778219196945
F34;Xh;female;24;size;2;16;high;small;s;0.6401956461486407
F34;Xh;female;24;size;3;1;high;big;s;0.7702503681648523
F34;Xh;female;24;size;3;2;low;big;k;0.6364855375140905
F34;Xh;female;24;size;3;3;high;small;s;0.5856725623016246
F34;Xh;female;24;size;3;4;high;big;s;0.601506938051898
F34;Xh;female;24;size;3;5;low;small;k;0.6610123595455661
F34;Xh;female;24;size;3;6;high;small;s;0.6230116734514013
F34;Xh;female;24;size;3;7;high;big;s;0.6238587734987959
F34;Xh;female;24;size;3;8;low;small;k;0.624989292875398
F34;Xh;female;24;size;3;9;low;small;k;0.6103687253780663
F34;Xh;female;24;size;3;10;low;big;k;0.6177285482408479
F34;Xh;female;24;size;3;11;high;big;s;0.6141439651837572
F34;Xh;female;24;size;3;12;low;small;k;0.6431162860244513
