participant;language;gender;age;condition;block;trial;sound;visual;key;RT
M37;Xh;male;26;size;1;1;low;small;k;1.3161400186363608
M37;Xh;male;26;size;1;2;low;big;k;0.9006848247372545
M37;Xh;male;26;size;1;3;high;big;s;1.695085043553263
M37;Xh;male;26;size;1;4;high;big;s;1.1434220077935606
M37;Xh;male;26;size;1;5;high;small;s;1.0340233422466554
M37;Xh;male;26;size;1;6;low;big;k;1.289750839699991
M37;Xh;male;26;size;1;7;low;small;k;1.0336487392778508
M37;Xh;male;26;size;1;8;high;small;s;1.085684996447526
M37;Xh;male;26;size;1;9;high;small;s;0.8547594508272596
M37;Xh;male;26;size;1;10;low;small;k;1.0316044098581187
M37;Xh;male;26;size;1;11;high;small;s;1.558332073444035
M37;Xh;male;26;size;1;12;low;big;k;0.9379552521277219
M37;Xh;male;26;size;1;13;high;big;s;1.0097898078965954
M37;Xh;male;26;size;1;14;low;small;k;0.9197177333408035
M37;Xh;male;26;size;1;15;low;big;k;0.8978482632664964
M37;Xh;male;26;size;1;16;high;big;s;0.9267329531139694
M37;Xh;male;26;height;2;1;low;low;k;2.9267191374092363
M37;Xh;male;26;height;2;2;high;high;s;1.2966231656027958
M37;Xh;male;26;height;2;3;high;low;s;0.750265360227786
M37;Xh;male;26;height;2;4;low;high;k;0.8107276178780012
M37;Xh;male;26;height;2;5;high;low;s;0.9709420218132436
M37;Xh;male;26;height;2;6;low;high;k;0.6270869114086963
M37;Xh;male;26;height;2;7;high;high;s;0.7723637761664577
M37;Xh;male;26;height;2;8;low;low;k;0.783746337343473
M37;Xh;male;26;height;2;9;high;low;s;0.8207957134582102
M37;Xh;male;26;height;2;10;low;high;k;0.8500905323890038
M37;Xh;male;26;height;2;11;low;high;k;0.7241836793837138
M37;Xh;male;26;height;2;12;high;low;s;0.6176961800665595
M37;Xh;male;26;height;2;13;low;low;k;1.0791375369299203
M37;Xh;male;26;height;2;14;high;low;s;0.6293207134003751
M37;Xh;male;26;height;2;15;low;high;k;0.9276483421563171
M37;Xh;male;26;height;2;16;high;high;s;1.2588506360189058
M37;Xh;male;26;height;3;1;high;high;s;1.278946564416401
M37;Xh;male;26;height;3;2;low;low;k;0.7315849494189024
M37;Xh;male;26;height;3;3;low;high;k;0.6110812209662981
M37;Xh;male;26;height;3;4;low;low;k;0.5185756088467315
M37;Xh;male;26;height;3;5;high;low;s;0.6616849869024009
M37;Xh;male;26;height;3;6;low;low;k;0.5488027902902104
M37;Xh;male;26;height;3;7;low;high;k;0.9305267453892156
M37;Xh;male;26;height;3;8;low;low;k;1.2838554814225063
M37;Xh;male;26;height;3;9;high;low;s;0.7052853751811199
M37;Xh;male;26;height;3;10;high;low;s;0.7122473058407195
M37;Xh;male;26;height;3;11;high;high;s;0.7116252044797875
M37;Xh;male;26;height;3;12;low;high;k;0.6898548127501272
M37;Xh;male;26;height;3;13;low;high;k;0.7021385525586084
M37;Xh;male;26;height;3;14;high;high;s;0.7603081928100437
M37;Xh;male;26;height;3;15;high;high;s;1.5323597341193818
M37;Xh;male;26;height;3;16;high;low;s;1.1191122896852903
M37;Xh;male;26;size;4;1;low;small;k;1.4408018792746589
M37;Xh;male;26;size;4;2;low;small;k;0.7476380080333911
M37;Xh;male;26;size;4;3;high;small;s;0.8187308578053489
M37;Xh;male;26;size;4;4;high;big;s;0.5990678741945885
M37;Xh;male;26;size;4;5;high;small;s;0.6497205872437917
M37;Xh;male;26;size;4;6;low;small;k;0.7862122431397438
M37;Xh;male;26;size;4;7;low;big;k;0.6942032068618573
M37;Xh;male;26;size;4;8;high;small;k;0.6782985684112646
M37;Xh;male;26;size;4;9;high;big;k;0.9687788772862405
M37;Xh;male;26;size;4;10;high;big;k;0.5655091343214735
M37;Xh;male;26;size;4;11;low;big;k;0.725446434749756
M37;Xh;male;26;size;4;12;low;big;k;0.5770878784824163
M37;Xh;male;26;size;4;13;low;big;k;0.4926170851686038
M37;Xh;male;26;size;4;14;low;small;k;0.4526707532349974
M37;Xh;male;26;size;4;15;high;big;s;0.5177308772108518
M37;Xh;male;26;size;4;16;high;small;s;0.46275700663682073
M37;Xh;male;26;size;5;1;high;small;s;1.647699152410496
M37;Xh;male;26;size;5;2;high;big;k;0.6558058127993718
M37;Xh;male;26;size;5;3;high;small;k;0.533243544457946
M37;Xh;male;26;size;5;4;low;small;s;0.6896396825322881
M37;Xh;male;26;size;5;5;low;small;s;0.5792439178330824
M37;Xh;male;26;size;5;6;low;small;s;0.5272080554277636
M37;Xh;male;26;size;5;7;low;big;s;0.5821017949492671
M37;Xh;male;26;size;5;8;low;big;s;0.5245783348218538
M37;Xh;male;26;size;5;9;high;small;k;0.6674883721279912
M37;Xh;male;26;size;5;10;high;big;k;0.503640043316409
M37;Xh;male;26;size;5;11;low;small;k;0.5178717973758467
M37;Xh;male;26;size;5;12;high;big;k;0.9960084457416087
M37;Xh;male;26;size;5;13;high;small;k;0.7492773400153965
M37;Xh;male;26;size;5;14;high;big;k;0.7988141388632357
M37;Xh;male;26;size;5;15;low;big;s;0.6335080559365451
M37;Xh;male;26;size;5;16;low;big;s;0.6986869949614629
M37;Xh;male;26;height;6;1;high;low;k;1.367034309078008
M37;Xh;male;26;height;6;2;low;low;s;0.8291305304155685
M37;Xh;male;26;height;6;3;high;low;k;0.7868015816202387
M37;Xh;male;26;height;6;4;low;low;s;0.691337040392682
M37;Xh;male;26;height;6;5;low;low;s;1.0002013145713136
M37;Xh;male;26;height;6;6;high;high;k;0.6774262053659186
M37;Xh;male;26;height;6;7;high;low;k;0.8580325884977356
M37;Xh;male;26;height;6;8;low;low;s;0.6822103863232769
M37;Xh;male;26;height;6;9;low;high;s;0.8740864365827292
M37;Xh;male;26;height;6;10;low;high;s;1.2825358843547292
M37;Xh;male;26;height;6;11;low;low;s;1.5287119934801012
M37;Xh;male;26;height;6;12;low;high;s;0.9341275126789697
M37;Xh;male;26;height;6;13;high;high;k;1.3982546423794702
M37;Xh;male;26;height;6;14;high;high;k;0.5775327442097478
M37;Xh;male;26;height;6;15;high;high;k;0.48642370238667354
M37;Xh;male;26;height;6;16;high;high;k;0.5295914617599919
M37;Xh;male;26;height;7;1;high;low;s;1.5595458817551844
M37;Xh;male;26;height;7;2;low;low;k;1.1303298519342206
M37;Xh;male;26;height;7;3;high;low;s;1.1011317429947667
M37;Xh;male;26;height;7;4;high;high;k;0.7360553165199235
M37;Xh;male;26;height;7;5;high;low;k;0.5571447124239057
M37;Xh;male;26;height;7;6;low;high;s;0.7229382923105732
M37;Xh;male;26;height;7;7;high;low;k;0.7035410438547842
M37;Xh;male;26;height;7;8;low;low;s;0.7545423074043356
M37;Xh;male;26;height;7;9;low;high;k;0.6053315196768381
M37;Xh;male;26;height;7;10;low;high;s;1.303113783360459
M37;Xh;male;26;height;7;11;low;high;s;1.0149316181777976
M37;Xh;male;26;height;7;12;high;high;k;0.7532452101586387
M37;Xh;male;26;height;7;13;high;low;k;0.5157058897311799
M37;Xh;male;26;height;7;14;low;high;s;0.6865256227902137
M37;Xh;male;26;height;7;15;high;low;k;1.294776598108001
M37;Xh;male;26;height;7;16;low;high;s;0.5749823652440682
M37;Xh;male;26;height;8;1;low;low;s;1.5248795171501115
M37;Xh;male;26;height;8;2;low;low;s;0.6149622495286167
M37;Xh;male;26;height;8;3;high;low;k;0.7766604601638392
M37;Xh;male;26;height;8;4;high;low;k;0.8037329242797568
M37;Xh;male;26;height;8;5;low;high;s;0.6868599628796801
M37;Xh;male;26;height;8;6;low;high;s;0.7714187820092775
M37;Xh;male;26;height;8;7;low;high;s;0.6618188018910587
M37;Xh;male;26;height;8;8;high;high;k;0.6237431163317524
M37;Xh;male;26;height;8;9;low;high;k;0.5807170666521415
M37;Xh;male;26;height;8;10;high;low;s;2.7716583858127706
M37;Xh;male;26;height;8;11;high;low;k;1.1565935052349232
M37;Xh;male;26;height;8;12;low;high;s;0.8657962246797979
M37;Xh;male;26;height;8;13;high;low;k;0.9759460698114708
M37;Xh;male;26;height;8;14;high;high;k;0.9315877914777957
M37;Xh;male;26;height;8;15;high;high;k;1.3870307644247077
M37;Xh;male;26;height;8;16;low;low;s;1.2313976479345001
M37;Xh;male;26;size;9;1;high;small;k;2.0712610066402704
M37;Xh;male;26;size;9;2;low;big;s;0.7727956156013533
M37;Xh;male;26;size;9;3;low;big;s;0.6699057256337255
M37;Xh;male;26;size;9;4;high;small;k;0.7656667123665102
M37;Xh;male;26;size;9;5;high;big;k;0.8495205358485691
M37;Xh;male;26;size;9;6;low;big;s;0.7824370033340529
M37;Xh;male;26;size;9;7;high;big;k;0.8082230280851945
M37;Xh;male;26;size;9;8;high;small;k;1.1272221080143936
M37;Xh;male;26;size;9;9;low;small;s;0.7682518279179931
M37;Xh;male;26;size;9;10;high;small;k;1.4532261445419863
M37;Xh;male;26;size;9;11;high;small;k;0.9871281059458852
M37;Xh;male;26;size;9;12;low;small;s;1.411999688949436
M37;Xh;male;26;size;9;13;high;big;s;3.6707690097391605
M37;Xh;male;26;size;9;14;low;big;k;1.5650532161234878
M37;Xh;male;26;size;9;15;low;big;s;1.4195264845038764
M37;Xh;male;26;size;9;16;low;small;s;0.944531921937596
M37;Xh;male;26;height;10;1;high;low;k;2.1758664124063216
M37;Xh;male;26;height;10;2;low;high;k;0.5796583889750764
M37;Xh;male;26;height;10;3;high;high;s;0.4924106390099041
M37;Xh;male;26;height;10;4;low;low;k;0.7034151236293837
M37;Xh;male;26;height;10;5;low;low;s;1.1946301121497527
M37;Xh;male;26;height;10;6;high;low;k;0.9760656743310392
M37;Xh;male;26;height;10;7;high;low;k;1.4833455635234714
M37;Xh;male;26;height;10;8;low;low;s;1.2812131293467246
M37;Xh;male;26;height;10;9;low;high;s;0.734522168058902
M37;Xh;male;26;height;10;10;low;high;s;0.8276143555413
M37;Xh;male;26;height;10;11;low;low;s;0.7547570429742336
M37;Xh;male;26;height;10;12;high;low;k;0.8321324854623526
M37;Xh;male;26;height;10;13;low;high;s;0.860050865507219
M37;Xh;male;26;height;10;14;high;high;k;1.2552451320225373
M37;Xh;male;26;height;10;15;high;high;k;0.7141617676825263
M37;Xh;male;26;height;10;16;high;high;k;0.489640787767712
M37;Xh;male;26;height;11;1;high;low;k;1.4653823851258494
M37;Xh;male;26;height;11;2;high;low;k;0.5526917136157863
M37;Xh;male;26;height;11;3;low;high;s;0.7992191364173777
M37;Xh;male;26;height;11;4;low;low;s;0.666949559643399
M37;Xh;male;26;height;11;5;high;low;k;0.9891223041340709
M37;Xh;male;26;height;11;6;high;high;k;1.8441872794064693
M37;Xh;male;26;height;11;7;high;high;k;0.8788568017771468
M37;Xh;male;26;height;11;8;low;low;s;0.6951687272521667
M37;Xh;male;26;height;11;9;low;low;s;0.610427935491316
M37;Xh;male;26;height;11;10;low;high;s;0.6573318560258485
M37;Xh;male;26;height;11;11;low;high;s;0.6660977227729745
M37;Xh;male;26;height;11;12;high;low;k;0.8229020162834786
M37;Xh;male;26;height;11;13;low;high;k;0.6541542440536432
M37;Xh;male;26;height;11;14;high;low;k;1.1152652082382701
M37;Xh;male;26;height;11;15;high;high;k;0.6880275871953927
M37;Xh;male;26;height;11;16;low;high;s;0.6705763793434016
M37;Xh;male;26;height;12;1;high;low;k;1.0526390165905468
M37;Xh;male;26;height;12;2;low;low;k;0.7720124625484459
M37;Xh;male;26;height;12;3;high;high;k;0.8554885252960958
M37;Xh;male;26;height;12;4;low;high;s;0.7716331227566116
M37;Xh;male;26;height;12;5;low;high;s;1.3877282600733452
M37;Xh;male;26;height;12;6;high;low;k;0.6266838876181282
M37;Xh;male;26;height;12;7;high;high;k;1.0337249229778536
M37;Xh;male;26;height;12;8;low;high;s;0.7132542732870206
M37;Xh;male;26;height;12;9;low;high;s;0.8418571621878073
M37;Xh;male;26;height;12;10;high;low;k;0.6906028343946673
M37;Xh;male;26;height;12;11;low;low;s;1.9064941309043206
M37;Xh;male;26;height;12;12;high;low;k;0.5529403963009827
M37;Xh;male;26;height;12;13;low;low;k;1.2658188824425451
M37;Xh;male;26;height;12;14;high;low;s;0.6687333643785678
M37;Xh;male;26;height;12;15;low;high;s;2.3853069592732936
M37;Xh;male;26;height;12;16;high;high;k;0.6223864142084494
M37;Xh;male;26;size;13;1;high;big;k;1.3533011046238244
M37;Xh;male;26;size;13;2;low;big;s;0.8805525807547383
M37;Xh;male;26;size;13;3;low;small;s;1.0110379580873996
M37;Xh;male;26;size;13;4;high;big;k;0.6561267318902537
M37;Xh;male;26;size;13;5;high;big;k;0.8137433886877261
M37;Xh;male;26;size;13;6;low;small;s;0.9060247917077504
M37;Xh;male;26;size;13;7;high;big;k;0.7960513927973807
M37;Xh;male;26;size;13;8;low;big;s;0.8696365957148373
M37;Xh;male;26;size;13;9;high;big;k;1.0907048337976448
M37;Xh;male;26;size;13;10;low;small;s;1.5310567158157937
M37;Xh;male;26;size;13;11;low;small;s;0.8970402419799939
M37;Xh;male;26;size;13;12;high;big;k;0.771311019489076
M37;Xh;male;26;size;13;13;high;small;k;0.5584362833178602
M37;Xh;male;26;size;13;14;low;small;k;0.8640889984089881
M37;Xh;male;26;size;13;15;high;small;k;1.4812921551638283
M37;Xh;male;26;size;13;16;low;small;s;1.0608948866138235
