participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF27;Afrikaans;male;20;1;low;small;big;right;big;1.3494927110150456
ARF27;Afrikaans;male;20;2;low;small;big;right;big;0.6269406471401453
ARF27;Afrikaans;male;20;3;high;low;high;left;low;1.4026791993528605
ARF27;Afrikaans;male;20;4;high;high;small;right;small;0.8911986369639635
ARF27;Afrikaans;male;20;5;high;low;big;left;low;0.5914511466398835
ARF27;Afrikaans;male;20;6;low;high;small;left;high;1.617604462429881
ARF27;Afrikaans;male;20;7;low;low;high;left;low;0.9155346108600497
ARF27;Afrikaans;male;20;8;low;low;big;right;big;0.8800908979028463
ARF27;Afrikaans;male;20;9;high;low;big;left;low;0.8555058501660824
ARF27;Afrikaans;male;20;10;high;low;big;left;low;0.5925204735249281
ARF27;Afrikaans;male;20;11;low;low;high;left;low;1.1442312588915229
ARF27;Afrikaans;male;20;12;low;low;high;left;low;0.8587158042937517
ARF27;Afrikaans;male;20;13;high;small;big;left;small;0.9985114680603147
ARF27;Afrikaans;male;20;14;low;small;big;left;small;0.7399537926539779
ARF27;Afrikaans;male;20;15;high;low;high;left;low;0.7267366098240018
ARF27;Afrikaans;male;20;16;high;high;small;left;high;0.9507268778979778
ARF27;Afrikaans;male;20;17;high;high;small;right;small;1.7201193356886506
ARF27;Afrikaans;male;20;18;high;high;small;right;small;0.6235068794339895
ARF27;Afrikaans;male;20;19;high;small;big;left;small;0.5912375971674919
ARF27;Afrikaans;male;20;20;low;low;big;right;big;0.6107321912422776
ARF27;Afrikaans;male;20;21;low;low;big;right;big;0.5804231446236372
ARF27;Afrikaans;male;20;22;low;low;high;right;high;0.8952872632071376
ARF27;Afrikaans;male;20;23;low;low;big;right;big;0.6451132856309414
ARF27;Afrikaans;male;20;24;low;high;small;left;high;0.9253413137048483
ARF27;Afrikaans;male;20;25;low;high;small;left;high;0.9013921776786447
ARF27;Afrikaans;male;20;26;high;small;big;left;small;1.1596340676769614
ARF27;Afrikaans;male;20;27;high;high;small;right;small;0.7288922378793359
ARF27;Afrikaans;male;20;28;high;low;big;left;low;0.5471042711287737
ARF27;Afrikaans;male;20;29;high;low;big;left;low;0.7966095739975572
ARF27;Afrikaans;male;20;30;high;low;high;right;high;1.3755623437464237
ARF27;Afrikaans;male;20;31;low;small;big;right;big;0.5992869576439261
ARF27;Afrikaans;male;20;32;low;small;big;right;big;0.5230651358142495
ARF27;Afrikaans;male;20;33;high;low;high;right;high;1.2551203547045588
ARF27;Afrikaans;male;20;34;low;low;high;left;low;0.9240710688754916
ARF27;Afrikaans;male;20;35;high;high;small;right;small;0.7386598633602262
ARF27;Afrikaans;male;20;36;low;small;big;right;big;0.963502355851233
ARF27;Afrikaans;male;20;37;low;low;high;left;low;1.2290961164981127
ARF27;Afrikaans;male;20;38;high;high;small;right;small;0.8660937277600169
ARF27;Afrikaans;male;20;39;high;small;big;left;small;1.0214864080771804
ARF27;Afrikaans;male;20;40;low;low;big;right;big;0.6687399270012975
