participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
F1;Xh;female;21;1;low;high;small;left;high;1.7974680945917498
F1;Xh;female;21;2;low;high;small;left;high;1.635357386607211
F1;Xh;female;21;3;high;small;big;left;small;3.967959408677416
F1;Xh;female;21;4;low;low;big;right;big;3.973295428295387
F1;Xh;female;21;5;high;high;small;right;small;2.309107035805937
F1;Xh;female;21;6;low;low;big;right;big;2.0539680873043835
F1;Xh;female;21;7;low;high;small;left;high;1.1185505826433655
F1;Xh;female;21;8;low;low;high;right;high;6.320818410720676
F1;Xh;female;21;9;high;low;high;left;low;3.1005649043945596
F1;Xh;female;21;10;high;low;high;left;low;1.184745173290139
F1;Xh;female;21;11;high;low;big;left;low;1.6742928037128877
F1;Xh;female;21;12;high;high;small;right;small;1.0212497370084748
F1;Xh;female;21;13;low;low;high;right;high;2.017110157350544
F1;Xh;female;21;14;low;high;small;left;high;1.1340202238061465
F1;Xh;female;21;15;high;low;big;right;big;1.5212830920645501
F1;Xh;female;21;16;high;low;high;left;low;1.7547913848247845
F1;Xh;female;21;17;high;low;high;left;low;1.4535766686603893
F1;Xh;female;21;18;low;small;big;right;big;1.5905834529839922
F1;Xh;female;21;19;low;low;high;right;high;1.4752152190776542
F1;Xh;female;21;20;low;low;high;right;high;1.170266315457411
F1;Xh;female;21;21;high;low;big;left;low;1.5942047463613562
F1;Xh;female;21;22;high;high;small;right;small;2.0948246767220553
F1;Xh;female;21;23;low;high;small;left;high;1.6034596891258843
F1;Xh;female;21;24;low;small;big;right;big;2.5679485929431394
F1;Xh;female;21;25;high;small;big;right;big;1.8711930334102362
F1;Xh;female;21;26;low;small;big;right;big;1.4613533311057836
F1;Xh;female;21;27;low;high;small;left;high;1.1154132336378098
F1;Xh;female;21;28;low;low;big;right;big;1.2804947127297055
F1;Xh;female;21;29;high;small;big;left;small;1.0242193239100743
F1;Xh;female;21;30;high;small;big;left;small;1.139424532506382
F1;Xh;female;21;31;high;low;big;left;low;1.3127066187735181
F1;Xh;female;21;32;low;low;high;right;high;1.1204374131048098
F1;Xh;female;21;33;high;low;big;left;low;2.194998004619265
F1;Xh;female;21;34;high;low;high;left;low;1.5818949540553149
F1;Xh;female;21;35;high;small;big;left;small;1.3500745455967262
F1;Xh;female;21;36;high;low;big;left;low;1.13469719333807
F1;Xh;female;21;37;low;high;small;right;small;1.489092501666164
F1;Xh;female;21;38;low;small;big;right;big;0.853561826661462
F1;Xh;female;21;39;high;low;big;left;low;0.963770487200236
F1;Xh;female;21;40;low;small;big;right;big;1.0133266281045508
