participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
M9;Xh;male;20;1;low;low;high;left;low;7.364530508843018
M9;Xh;male;20;2;high;high;small;right;small;2.5235622884938493
M9;Xh;male;20;3;low;high;small;left;high;4.892479085974628
M9;Xh;male;20;4;low;low;big;right;big;2.8315320944820996
M9;Xh;male;20;5;high;small;big;right;big;1.423424881446408
M9;Xh;male;20;6;low;low;big;right;big;1.2237761161231901
M9;Xh;male;20;7;low;small;big;right;big;1.318936711846618
M9;Xh;male;20;8;low;low;big;right;big;1.2925108226190787
M9;Xh;male;20;9;low;high;small;left;high;2.293418711749837
M9;Xh;male;20;10;high;low;high;left;low;4.596793019853067
M9;Xh;male;20;11;low;low;big;left;low;2.927164792548865
M9;Xh;male;20;12;high;low;high;left;low;2.353993073978927
M9;Xh;male;20;13;high;small;big;right;big;2.4269289387157187
M9;Xh;male;20;14;high;small;big;right;big;2.550262518110685
M9;Xh;male;20;15;low;low;big;right;big;1.8502247420256026
M9;Xh;male;20;16;high;low;high;left;low;1.7395155582635198
M9;Xh;male;20;17;low;high;small;left;high;1.9027556013606954
M9;Xh;male;20;18;high;low;high;left;low;1.4317008829093538
M9;Xh;male;20;19;high;small;big;right;big;0.9347993505944032
M9;Xh;male;20;20;low;low;big;right;big;1.7016388188058045
M9;Xh;male;20;21;high;high;small;left;high;1.3602440879622009
M9;Xh;male;20;22;high;small;big;right;big;1.0050222057907376
M9;Xh;male;20;23;low;high;small;left;high;0.6494099312694743
M9;Xh;male;20;24;high;low;big;right;big;0.8042148949753027
M9;Xh;male;20;25;low;high;small;left;high;1.4281620889960323
M9;Xh;male;20;26;high;low;big;left;low;1.3960192614467815
M9;Xh;male;20;27;low;low;high;left;low;1.277596178028034
M9;Xh;male;20;28;low;low;high;right;high;1.0305978370888624
M9;Xh;male;20;29;low;low;high;left;low;0.8439520176907536
M9;Xh;male;20;30;low;low;big;left;low;1.5590268060332164
M9;Xh;male;20;31;high;high;small;left;high;0.975024759711232
M9;Xh;male;20;32;low;low;high;right;high;0.9215650903352071
M9;Xh;male;20;33;high;small;big;right;big;1.3411796005966607
M9;Xh;male;20;34;high;small;big;right;big;0.5384871962014586
M9;Xh;male;20;35;high;low;high;left;low;1.7500068091903813
M9;Xh;male;20;36;low;small;big;right;big;0.9936976705503184
M9;Xh;male;20;37;high;high;small;left;high;0.7300052223436069
M9;Xh;male;20;38;high;low;big;right;big;1.215306300087832
M9;Xh;male;20;39;low;high;small;left;high;0.9791288132837508
M9;Xh;male;20;40;high;small;big;right;big;1.7344653263280634
